,index,cmdb_type,digest,start_max,start_min,start_sum,start_mean,start_std,po_max,po_min,po_sum,po_mean,pu_max,pu_min,pu_sum,pu_mean,label
0,4,0,0,-243000,-275000,-518000,-259000.0,16000.0,0.8234277210909287,0.6311878313512722,1.4546155524422009,0.7273077762211004,1.673477459826206,1.64618664725605,3.3196641070822563,1.6598320535411282,0
1,4,0,1,203000,-277000,-124000,-24800.0,209330.74308376206,1.0358501841340995,0.5677078795444668,3.966138917344838,0.7932277834689676,1.7194479774909899,0.9959073515750022,6.267019528201622,1.2534039056403246,0
2,4,0,2,115000,-255000,125000,17857.14285714286,120037.4091349723,2.2005697133933895,0.5991265170493641,9.60179076228956,1.3716843946127943,2.123678740076581,0.8985250512463553,8.008545439982361,1.1440779199974802,0
3,4,0,3,263000,-216000,563000,93833.33333333333,152458.09989050176,2.5716998784930145,0.5530080699758588,5.8757030701218,0.9792838450203,2.552105272586441,0.9596808215895453,9.838846380395815,1.639807730065969,0
4,4,0,4,204000,-216000,132000,44000.0,185472.36990991406,2.40034067785376,0.6665203561825311,4.982812037008378,1.6609373456694592,2.4121447409628614,1.0537852644446446,5.381881008380668,1.7939603361268892,0
5,4,0,5,263000,-19000,879000,146500.0,92748.31534858193,1.5660787859814986,0.7955816480270292,6.832613268160252,1.1387688780267087,1.9972812641524633,0.5562266059651527,8.142218206942845,1.3570363678238075,0
6,4,0,6,263000,-277000,-291000,-97000.0,254558.4412271571,1.237956072689518,0.6859239354185098,2.6098039435265377,0.8699346478421792,1.2379560726895178,1.0492841087921783,3.336524290273874,1.1121747634246246,0
7,4,0,7,235000,-157000,43000,6142.857142857143,154112.60129383003,3.7286112266271414,0.5806805975530838,9.986216061211916,1.4266022944588452,3.3743713255466323,0.9113611230824237,11.958780063220273,1.7083971518886103,0
8,4,0,8,263000,-37000,356000,71200.0,109785.9736031885,1.3618781409687821,0.8162624000268468,5.621385886298871,1.1242771772597742,1.1548380047202684,0.7847892654766983,5.041562335941569,1.0083124671883137,0
9,4,0,9,263000,83000,595000,119000.0,72000.0,1.232567582444892,0.8381338949859768,4.837676602730635,0.967535320546127,0.9721912603328248,0.9196574052075578,4.701821841572539,0.9403643683145078,0
10,4,0,10,263000,-225000,227000,45400.0,157350.05560850623,1.39797121589088,0.5023423862455302,4.912474324821825,0.982494864964365,4.636279172404836,0.9207905081901008,8.881655398140886,1.7763310796281773,0
11,4,0,11,143000,23000,1093000,99363.63636363637,42128.100592171635,4.112823260427775,1.0371506305789557,24.871818172317074,2.261074379301552,4.112823260440057,1.0114043517220306,25.46800932063192,2.315273574602902,1
12,4,0,12,143000,-37000,417000,83400.0,68590.37833399084,2.077142946977684,0.8927049858585395,5.898496768398212,1.1796993536796425,2.1117523605971913,0.9354656309155952,6.175939595605477,1.2351879191210953,0
0,4,1,0,-119000,-213000,-668000,-167000.0,34496.37662132068,4.445725298263819,0.8062993951526817,8.727599874878047,2.1818999687195118,1.6240073067759069,0.6049909816425486,4.359767455337595,1.0899418638343987,0
0,4,2,0,296000,-300000,-7190000,-52481.75182481752,167698.94393940282,35.71720961246276,0.42227575822725266,255.04944127368395,1.8616747538225107,16.53050028314828,0.19197876906299352,267.3591528395494,1.9515266630624042,0
0,5,0,0,23000,-276000,-685000,-171250.0,122383.3628398893,1.065393092340472,0.6917480500852875,3.55497565243186,0.888743913107965,1.7011053955603244,0.9233771669976715,5.425072977627098,1.3562682444067744,0
1,5,0,1,243000,-217000,8000,888.8888888888889,163856.60699013935,1.23153877548983,0.4749672894752945,7.497973424256131,0.8331081582506812,1.9464213872481888,0.9799726909284061,11.744414474220548,1.3049349415800608,0
2,5,0,2,143000,-217000,-733000,-91625.0,127071.76859948083,1.1967868130911257,0.6064690807843856,7.8688759583764165,0.9836094947970521,1.2853951732182578,0.8310584942645132,8.044205192259584,1.005525649032448,0
3,5,0,3,24000,-49000,23000,5750.0,31609.92723813201,0.9651807372966804,0.6379839198108802,3.508780503240876,0.877195125810219,2.0500012631951816,0.842989457201082,4.6038492011238015,1.1509623002809504,0
4,5,0,4,264000,-276000,-538000,-76857.14285714286,181259.4262151261,1.7018659813977204,0.5942182173469606,7.501198540244584,1.071599791463512,1.2429272784132377,0.6051785260154141,6.439347613693695,0.9199068019562421,0
5,5,0,5,264000,-216000,-133000,-16625.0,135245.0900217823,2.0610176125070763,0.7264854948564231,9.615868409531377,1.201983551191422,2.061017612511989,0.8831370255520384,10.295454527891014,1.2869318159863767,0
6,5,0,6,143000,-246000,178000,19777.777777777777,151056.1174440941,2.3069186900509315,0.7357104275289253,12.585440355314063,1.3983822617015624,3.1960848192230955,0.7043218798878551,14.555438916410209,1.6172709907122453,0
7,5,0,7,83000,-277000,-994000,-124250.0,111749.44071448411,1.6709514561609318,0.6191928253555322,8.330360106447905,1.0412950133059882,5.985791614037984,0.9380556527422876,18.453654364765775,2.306706795595722,0
8,5,0,8,263000,-217000,-51000,-17000.0,203960.7805437114,1.0236772574149786,0.6804264757646918,2.5193276111778844,0.8397758703926281,1.5093094598398729,0.8533658005748566,3.552145771300819,1.1840485904336064,0
9,5,0,9,-37000,-277000,-1098000,-156857.14285714287,71833.99229459262,1.0156159268565768,0.606484679240938,5.447104393926118,0.778157770560874,1.6282242202462933,0.9369385240040927,7.825838796954964,1.1179769709935663,0
