index,cmdb_type,cmdb,kpi_name,kpi_item,itemid,change_start,po,pu,digest,pmax
126,0,0,0,0,999999998650866,-867000,0.7859297879715231,1.1600028726469411,0,1.1600028726469411
126,0,0,1,0,999999998650855,0,0.0,0.0,0,0.0
126,0,0,2,0,999999998650852,0,0.0,0.0,0,0.0
126,0,0,3,0,999999996867779,-1407000,2.1128424890145228,0.6238490949464319,0,2.1128424890145228
126,0,0,4,0,0,0,0.0,0.0,0,0.0
126,0,0,5,0,999999998650869,-568000,0.6789750950255199,0.9464540004576975,0,0.9464540004576975
126,0,0,6,0,999999998650873,0,0.0,0.0,0,0.0
126,0,0,7,0,61391038,-568000,0.6133665531312176,1.4621257916696888,0,1.4621257916696888
126,0,0,7,1,0,0,0.0,0.0,0,0.0
126,0,0,8,0,999999998650874,-268000,0.7457542161834766,1.2616226365505727,0,1.2616226365505727
126,0,0,9,0,64961704,0,0.0,0.0,0,0.0
126,0,0,9,1,0,0,0.0,0.0,0,0.0
126,0,0,10,0,61390912,0,0.0,0.0,0,0.0
126,0,0,10,1,61390913,0,0.0,0.0,0,0.0
126,0,0,10,2,61390914,0,0.0,0.0,0,0.0
126,0,0,10,3,61390915,0,0.0,0.0,0,0.0
126,0,0,10,4,61390916,0,0.0,0.0,0,0.0
126,0,0,10,5,61390917,0,0.0,0.0,0,0.0
126,0,0,10,6,61390918,0,0.0,0.0,0,0.0
126,0,0,10,7,61390919,0,0.0,0.0,0,0.0
126,0,0,10,8,61390920,0,0.0,0.0,0,0.0
126,0,0,10,9,0,0,0.0,0.0,0,0.0
126,0,0,10,10,0,0,0.0,0.0,0,0.0
126,0,0,10,11,0,0,0.0,0.0,0,0.0
126,0,0,10,12,0,0,0.0,0.0,0,0.0
126,0,0,10,13,0,0,0.0,0.0,0,0.0
126,0,0,10,14,0,0,0.0,0.0,0,0.0
126,0,0,10,15,0,0,0.0,0.0,0,0.0
126,0,0,11,0,999999998650849,0,0.0,0.0,0,0.0
126,0,0,12,0,0,0,0.0,0.0,0,0.0
126,0,0,13,0,61391069,0,0.0,0.0,0,0.0
126,0,0,14,0,999999997331753,0,0.0,0.0,0,0.0
126,0,0,15,0,0,0,0.0,0.0,0,0.0
126,0,0,16,0,999999998650854,0,0.0,0.0,0,0.0
126,0,0,17,0,61391032,-568000,0.6528843582599457,1.1379152148321774,0,1.1379152148321774
126,0,0,17,1,0,0,0.0,0.0,0,0.0
126,0,0,18,0,61391033,0,0.0,0.0,0,0.0
126,0,0,18,1,0,0,0.0,0.0,0,0.0
126,0,0,19,0,0,0,0.0,0.0,0,0.0
126,0,0,20,0,61390921,0,0.0,0.0,0,0.0
126,0,0,20,1,61390922,0,0.0,0.0,0,0.0
126,0,0,20,2,61390923,0,0.0,0.0,0,0.0
126,0,0,20,3,61390924,0,0.0,0.0,0,0.0
126,0,0,20,4,61390925,0,0.0,0.0,0,0.0
126,0,0,20,5,61390926,0,0.0,0.0,0,0.0
126,0,0,20,6,61390927,0,0.0,0.0,0,0.0
126,0,0,20,7,61390928,0,0.0,0.0,0,0.0
126,0,0,20,8,61390929,0,0.0,0.0,0,0.0
126,0,0,20,9,0,0,0.0,0.0,0,0.0
126,0,0,20,10,0,0,0.0,0.0,0,0.0
126,0,0,20,11,0,0,0.0,0.0,0,0.0
126,0,0,20,12,0,0,0.0,0.0,0,0.0
126,0,0,20,13,0,0,0.0,0.0,0,0.0
126,0,0,20,14,0,0,0.0,0.0,0,0.0
126,0,0,20,15,0,0,0.0,0.0,0,0.0
126,0,0,21,0,999999998650830,-510000,0.8106308561114699,1.2099625739504023,0,1.2099625739504023
126,0,0,22,0,61391037,-388000,0.7160462403424249,1.0315955357180515,0,1.0315955357180515
126,0,0,22,1,0,0,0.0,0.0,0,0.0
126,0,0,23,0,61391030,-508000,1.0053370652358382,0.8195036929073138,0,1.0053370652358382
126,0,0,23,1,0,0,0.0,0.0,0,0.0
126,0,0,24,0,999999998650875,-885000,0.6048763801033088,1.3038409900248993,0,1.3038409900248993
126,0,0,25,0,61391034,-808000,0.6077555894763743,1.3733235004998114,0,1.3733235004998114
126,0,0,25,1,0,0,0.0,0.0,0,0.0
126,0,0,26,0,999999998650842,-1228000,3.7818868656018565,3.7818868656129507,0,3.7818868656129507
126,0,0,27,0,61391040,-568000,0.6746581522314247,0.9511068082005618,0,0.9511068082005618
126,0,0,27,1,0,0,0.0,0.0,0,0.0
126,0,0,28,0,61391031,-808000,0.5937928873987972,1.3637126818065297,0,1.3637126818065297
126,0,0,28,1,0,0,0.0,0.0,0,0.0
126,0,0,29,0,999999998650824,0,0.0,0.0,0,0.0
126,0,0,30,0,999999998650825,445000,1.3876541126303825,1.5458183905849092,0,1.5458183905849092
126,0,0,31,0,999999998650858,0,0.0,0.0,0,0.0
126,0,0,32,0,999999998650847,32000,0.7706890096349627,1.1547776465515727,0,1.1547776465515727
126,0,0,33,0,64961702,0,0.0,0.0,0,0.0
126,0,0,33,1,0,0,0.0,0.0,0,0.0
126,0,0,34,0,999999998650823,444000,5.21470837879243,5.008019993869667,0,5.21470837879243
126,0,0,35,0,999999998650846,32000,0.9179509879579882,1.3671823160729857,0,1.3671823160729857
126,0,0,36,0,999999998650857,0,0.0,0.0,0,0.0
126,0,0,37,0,999999998650826,-454000,1.2730566096841844,0.8177470305467254,0,1.2730566096841844
126,0,0,38,0,999999998650848,0,0.0,0.0,0,0.0
126,0,0,39,0,999999998650868,0,0.0,0.0,0,0.0
126,0,0,40,0,999999998650860,0,0.0,0.0,0,0.0
126,0,0,41,0,61391035,-1588000,1.2995323376145471,1.5259228320797715,0,1.5259228320797715
